Date,Mean of error,SD of error
2015-11-23,1852.67,1545.22
2015-11-30,1852.67,1545.22
2015-12-07,1852.67,1545.22
2015-12-14,1852.67,1545.22
2015-12-21,1939.48,1612.04
2015-12-28,1939.48,1612.04
2016-01-04,1939.48,1612.04
2016-01-11,1939.48,1612.04
2016-01-18,1969.12,1633.53
2016-01-25,1969.12,1633.53
2016-02-01,1969.12,1633.53
2016-02-08,1969.12,1633.53
2016-02-15,1984.05,1559.16
2016-02-22,1984.05,1559.16
2016-02-29,1984.05,1559.16
2016-03-07,1984.05,1559.16
2016-03-14,1977.37,1532.82
2016-03-21,1977.37,1532.82
2016-03-28,1977.37,1532.82
2016-04-04,1977.37,1532.82
2016-04-11,1918.36,1505.89
2016-04-18,1918.36,1505.89
2016-04-25,1918.36,1505.89
2016-05-02,1918.36,1505.89
2016-05-09,1824.54,1499.58
2016-05-16,1824.54,1499.58
2016-05-23,1824.54,1499.58
2016-05-30,1824.54,1499.58
2016-06-06,1734.23,1463.97
2016-06-13,1734.23,1463.97
2016-06-20,1734.23,1463.97
2016-06-27,1734.23,1463.97
2016-07-04,1673.91,1447.77
2016-07-11,1673.91,1447.77
2016-07-18,1673.91,1447.77
2016-07-25,1673.91,1447.77
2016-08-01,1635.04,1429.39
2016-08-08,1635.04,1429.39
2016-08-15,1635.04,1429.39
2016-08-22,1635.04,1429.39
2016-08-29,1585.58,1420.6
2016-09-05,1585.58,1420.6
2016-09-12,1585.58,1420.6
2016-09-19,1585.58,1420.6
2016-09-26,1520.21,1371.67
2016-10-03,1520.21,1371.67
2016-10-10,1520.21,1371.67
2016-10-17,1520.21,1371.67
2016-10-24,1307.52,1288.06
2016-10-31,1307.52,1288.06
2016-11-07,1307.52,1288.06
2016-11-14,1307.52,1288.06
2016-11-21,1206.73,1223.79
2016-11-28,1206.73,1223.79
2016-12-05,1206.73,1223.79
2016-12-12,1206.73,1223.79
2016-12-19,1135.88,1174.63
2016-12-26,1135.88,1174.63
2017-01-02,1135.88,1174.63
2017-01-09,1135.88,1174.63
2017-01-16,1097.8,1153.38
2017-01-23,1097.8,1153.38
2017-01-30,1097.8,1153.38
2017-02-06,1097.8,1153.38
2017-02-13,1037.14,1118.76
2017-02-20,1037.14,1118.76
2017-02-27,1037.14,1118.76
2017-03-06,1037.14,1118.76
2017-03-13,1024.98,1103.07
2017-03-20,1024.98,1103.07
2017-03-27,1024.98,1103.07
2017-04-03,1024.98,1103.07
2017-04-10,1011.48,1087.41
2017-04-17,1011.48,1087.41
2017-04-24,1011.48,1087.41
2017-05-01,1011.48,1087.41
2017-05-08,971.67,1064.96
2017-05-15,971.67,1064.96
2017-05-22,971.67,1064.96
2017-05-29,971.67,1064.96
2017-06-05,962.89,1047.5
